Datum	F	G	N	S	V
2020-06-18	Gesundheit|Vereinsleben|Versammlungsfreiheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Internationale Beziehungen|Menschenrechte|Vereinsleben|Versammlungsfreiheit|Arbeitslosenversicherung|Gesundheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Exekutive|Glücksspiel|Öffentlicher Sektor|Finanzwesen|Gesundheit|Gesundheit|Notar|Rechtsanwalt|Frau|Gesundheit|Gleichbehandlung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Tourismus|Wirtschaft|Öffentlicher Sektor|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Straßen- und Brückenbau|Umwelt|Öffentlicher Sektor	Altersversorgungssystem|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Altersversorgungssystem|Gesundheit|Menschenrechte|Opferhilfe|Gesetzgebungsverfahren|Preis|soziale Sicherheit|Menschenrechte|öffentliche Sicherheit|Gesundheit|Steuerwesen|Gesundheit|Arbeitsrecht|Europäische Union|Religion	Bildung|Gesundheit|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Gesundheit|Parlamentsdebatte|Wirtschaft|Exekutive|Glücksspiel|Öffentlicher Sektor|Gesundheit|Strafrecht|Verwaltungsrecht|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Öffentlicher Sektor|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Gesundheit|Strafrecht|Verwaltungsrecht|Öffentlicher Sektor	Gesundheit|Wirtschaft|Exekutive|Gesundheit|Informatik|Information und Informationsverarbeitung|Gesundheit|Hochschulausbildung|Gesundheit|Wirtschaft|Exekutive|Glücksspiel|Öffentlicher Sektor|Internationale Beziehungen|Arbeitsrecht|Europäische Union|Gesundheit|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Gesundheit|Tiermedizin|Tierschutz|Gesundheit|Strafrecht|Tiermedizin|Tierschutz|Öffentlicher Sektor|Europäische Union|Gesundheit|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz	Altersversorgungssystem|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Altersversorgungssystem|Gesundheit|Menschenrechte|Opferhilfe|Gesetzgebungsverfahren|Preis|soziale Sicherheit|Menschenrechte|öffentliche Sicherheit|Gesundheit|Steuerwesen|Gesundheit|Arbeitsrecht|Europäische Union|Religion
2020-06-23		Gesundheit|Menschenrechte|Vereinte Nationen	Gesundheit|Menschenrechte|Vereinte Nationen	Gesundheit|Menschenrechte|Vereinte Nationen	Gesundheit|Menschenrechte|Vereinte Nationen
2020-06-24	Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie
2020-06-25		Europäische Union|Land- und Forstwirtschaft, Fischerei			Europäische Union|Land- und Forstwirtschaft, Fischerei
2020-06-26		Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb			Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb
2020-06-30	Sport|Steuerwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Steuerwesen|Verteidigung	Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Flüchtling|Verwaltungsrecht|Internationale Beziehungen|Verkehr|Europäische Union|Menschenrechte|Gesundheit|Preis|Steuerwesen	Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Gesundheit|Wirtschaft|Bürgerliches Recht|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|parlamentarischer Ausschuss|Informatik|Information und Informationsverarbeitung|Post- und Fernmeldewesen|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsrecht|Verteidigung	Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Gesundheit|Preis|Steuerwesen|Verteidigung	Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Flüchtling|Verwaltungsrecht|Internationale Beziehungen|Verkehr|Europäische Union|Menschenrechte|Gesundheit|Preis|Steuerwesen
2020-07-06		Forschung und geistiges Eigentum|Gesundheit|öffentliche Sicherheit|Wissenschaften|öffentliche Sicherheit|Statistik	öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit	öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit	Forschung und geistiges Eigentum|Gesundheit|öffentliche Sicherheit|Wissenschaften|öffentliche Sicherheit|Statistik
2020-07-07	Gesundheit|Tourismus|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb		Elektrizitätsindustrie|Straßenverkehr|Umwelt|Menschenrechte|Gesundheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Steuerwesen|Umwelt|Flüchtling|junger Mensch|Gesundheit|Straßenverkehr|Umwelt|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Zivildienst|Gesundheit|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|Strafrecht|Tiermedizin|Tierschutz|Straßenverkehr|Umwelt|Wohnungspolitik|vorschulische Erziehung|Hochschulausbildung|Gesundheit|Zivildienst|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Zivildienst|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Umwelt|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Verteidigung|Zivildienst|Tiermedizin|Tierschutz|Gesundheit|Zivildienst|Straßenverkehr|Gesundheit|Kulturpolitik|Kunst|Steuerwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Archiv|Informatik|Information und Informationsverarbeitung|Gesundheit|Steuerwesen|Informatik|Information und Informationsverarbeitung|Luftverkehr|Verteidigung|Land- und Forstwirtschaft, Fischerei|Umwelt	
2020-07-08	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitslosenversicherung|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|soziale Sicherheit|Gesundheit|Internationale Beziehungen|Menschenrechte|Familienleistungsausgleich|Gesundheit|Gesundheit	Internationale Beziehungen|Menschenrechte	ausländischer Staatsangehöriger|Familie|Gesundheit|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Arbeitsrecht|Gesundheit|Internationale Beziehungen|Menschenrechte|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Kulturpolitik|Kunst|öffentliche Sicherheit|Land- und Forstwirtschaft, Fischerei|Staatswald|Umwelt|Familie|Gesundheit|Gesundheit|Tourismus|Gesundheit|junger Mensch|Opferhilfe|Land- und Forstwirtschaft, Fischerei|Staatswald|Umwelt|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Parlamentsdebatte|Arbeitsrecht|Gesundheit|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Energie|Gesundheit	Internationale Beziehungen|Menschenrechte
2020-07-09	Gesundheit|Steuerwesen|Europäische Union|Land- und Forstwirtschaft, Fischerei|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|soziale Sicherheit|Exekutive|Misstrauensantrag|Gesundheit|Flüchtling|Internationale Beziehungen|soziale Sicherheit|Gesundheit|Familienleistungsausgleich|Gesundheit|Elektrizitäts- und Kernkraftindustrie|Agrarerzeugnisse und Lebensmittel|Umwelt|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Gesundheit|Gesundheit|Gesundheit|Zivilschutz|Gesundheit|Zivilschutz|Arbeitsrecht|Gesundheit|Verfassung|Zivilschutz|Europäische Union|Menschenrechte|Gesundheit|Vereinsleben|Versammlungsfreiheit|Steuerwesen|Gesundheit|Elektrizitäts- und Kernkraftindustrie|ausländischer Staatsangehöriger|Familie|Gesundheit|Abfall|Abfallwirtschaft|Gesundheit|Umwelt	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Presse|Exekutive|Misstrauensantrag|Menschenrechte|Elektrizitäts- und Kernkraftindustrie|ausländischer Staatsangehöriger|Familie|Gesundheit|Flüchtling|Abfall|Abfallwirtschaft|Gesundheit|Umwelt	Europäische Union|Flüchtling|Menschenrechte|Sekundarstufe|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Bildung|junger Mensch|Organisation des Unterrichtswesens|Sport|Exekutive|Misstrauensantrag|Arbeitsrecht|Gesundheit|Arbeitsrecht|Gesundheit|Gesundheit|soziale Sicherheit|Altersversorgungssystem|Gesundheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Elektrizitäts- und Kernkraftindustrie|Flüchtling|Abfall|Abfallwirtschaft|Gesundheit|Umwelt	Gesundheit|Gesundheit|Gesundheit|Zivilschutz|Gesundheit|Zivilschutz|Arbeitsrecht|Gesundheit|Verfassung|Zivilschutz|Europäische Union|Menschenrechte|Gesundheit|Vereinsleben|Versammlungsfreiheit|Steuerwesen|Gesundheit|Elektrizitäts- und Kernkraftindustrie|ausländischer Staatsangehöriger|Familie|Gesundheit|Abfall|Abfallwirtschaft|Gesundheit|Umwelt
2020-09-14	Schienentransport|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Europäische Union|Flüchtling|Gesundheit|Beschäftigung und Arbeitsbedingungen|Familie|Familienleistungsausgleich|Gesundheit|Handel|Industrie|Sozialpolitik|Unternehmen und Wettbewerb	Gesundheit|Zivilschutz|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Finanzwesen|Gesundheit|Strafrecht	Frau|Gleichbehandlung|Kulturpolitik|Kunst|Europäische Union|Internationale Beziehungen|Menschenrechte|Europäische Union|Flüchtling|Gesundheit|junger Mensch|Arbeitsrecht|Gesundheit|Schienentransport|Europäische Union|Flüchtling|Gesundheit|junger Mensch|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Familienleistungsausgleich|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit	Europäische Union|öffentliche Sicherheit|Steuerwesen|Europäische Union|Finanzwesen|Gesundheit|Schienentransport|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Europäische Union|Flüchtling|junger Mensch|Arbeitsrecht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Arbeitslosenversicherung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Parlamentsdebatte|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Gesundheit|Tourismus|Bürgerliches Recht|Einkommen|Verwaltung und Entlohnung des Personals|Finanzwesen|Gesundheit|Vereinsleben|Versammlungsfreiheit|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Beschäftigung und Arbeitsbedingungen|Frau|Gesundheit|Gleichbehandlung	Gesundheit|Zivilschutz|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Finanzwesen|Gesundheit|Strafrecht
2020-09-23	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|Familienleistungsausgleich|Gesundheit|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Familienleistungsausgleich|Gesundheit|Handel|Industrie|junger Mensch|Sozialpolitik|Unternehmen und Wettbewerb|Preis|Schienentransport|Land- und Forstwirtschaft, Fischerei|Abfall|Abfallwirtschaft|Umwelt|Energie|Umwelt|Verkehr|Europäische Union|Flüchtling|Gesundheit|Gesundheit|Menschenrechte|öffentliche Sicherheit|Verfassung|Zivilschutz|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Strafrecht|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Tourismus|Gesundheit|Umwelt|Wirtschaft|ausländischer Staatsangehöriger|Flüchtling|Finanzwesen|Gesundheit|Steuerwesen|Tourismus|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Beschäftigung und Arbeitsbedingungen|Land- und Forstwirtschaft, Fischerei|Gesundheit|Politische Partei|Verwaltungsorganisation|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Exekutive|Gesundheit|Misstrauensantrag	Tiermedizin|Tierschutz|Frau|Gesundheit|Gleichbehandlung|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|junger Mensch|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Internationale Beziehungen|Menschenrechte|Presse|Wahl|Europäische Union|Internationale Beziehungen|junger Mensch|Menschenrechte|Strafrecht|Gesundheit|Notar|Rechtsanwalt|Strafrecht|Gesundheit|Zivilschutz|Behinderter|Frau|Gesundheit|Gleichbehandlung	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Tiermedizin|Tierschutz|Gesundheit|Gesundheit|Öffentlicher Sektor|Gesundheit|Internet|Steuerwesen|Forschung und geistiges Eigentum|Gesundheit|Informatik|Information und Informationsverarbeitung|Wissenschaften|Straßenverkehr|Arbeitsrecht|vorschulische Erziehung|Umwelt|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Europäische Union|Internationale Beziehungen|Menschenrechte|Presse|Wahl|Gesundheit|junger Mensch|Sport|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Umwelt|Gesundheit|Grenze|Internationale Beziehungen|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Politik der Zusammenarbeit|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Flüchtling|junger Mensch|Straßenverkehr|Land- und Forstwirtschaft, Fischerei|Umwelt|Behinderter|Bildung|junger Mensch|Organisation des Unterrichtswesens|Gesundheit|Zivilschutz|Kulturpolitik|Kunst|Straßenverkehr|Umwelt|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Familienleistungsausgleich|Gesundheit|Europäische Union|Flüchtling|Gesundheit|junger Mensch	Abfall|Abfallwirtschaft|Europäische Union|Steuerwesen|Umwelt|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Tourismus|Energie|Umwelt|Familienleistungsausgleich|Gesundheit|Europäische Union|Straßenverkehr|Familie|Gesundheit|Steuerwesen|Arbeitsrecht|Gesundheit|Bildung|Familie|Gesundheit|Organisation des Unterrichtswesens|Sozialpolitik|Europäische Union|Internationale Beziehungen|Menschenrechte|Presse|Wahl|Abfall|Abfallwirtschaft|Raumordnung|Familienleistungsausgleich|Primarstufe|junger Mensch|Strafrecht|Energie|Umwelt|Familienleistungsausgleich|Gesundheit|Arbeitsrecht|Gesundheit|Europäische Union|Flüchtling|junger Mensch|Bildung|Familie|Gesundheit|Organisation des Unterrichtswesens|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch	Tiermedizin|Tierschutz|Frau|Gesundheit|Gleichbehandlung|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|junger Mensch|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Internationale Beziehungen|Menschenrechte|Presse|Wahl|Europäische Union|Internationale Beziehungen|junger Mensch|Menschenrechte|Strafrecht|Gesundheit|Notar|Rechtsanwalt|Strafrecht|Gesundheit|Zivilschutz|Behinderter|Frau|Gesundheit|Gleichbehandlung
2020-10-06		Finanzwesen			Finanzwesen
2020-10-07	Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Religion|Steuerwesen|Strafrecht|Vereinsleben|Versammlungsfreiheit|ausländischer Staatsangehöriger|Flüchtling|Sozialpolitik|Europäische Union|Flüchtling		öffentliche Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Gesundheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Informatik|Information und Informationsverarbeitung|Öffentlicher Sektor|Gesundheit|Wirtschaft	Arbeitslosenversicherung|Gesundheit|Arbeitsrecht|Gesundheit|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Wissenschaften|Gesundheit|Internet|Land- und Forstwirtschaft, Fischerei|Umwelt|Wasser|Wasserbewirtschaftung|Tiermedizin|Tierschutz|Energie|Gesundheit|Sozialpolitik|Gesundheit|Sport|Altersversorgungssystem|Behinderter|Beschäftigung und Arbeitsbedingungen|Gesundheit|ausländischer Staatsangehöriger|Europäische Union|Flüchtling|Beschäftigung und Arbeitsbedingungen|Wirtschaft	
2020-10-08		Gesundheit|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb			Gesundheit|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb
2020-10-14	Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Erwachsenenbildung|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|Wirtschaft|Bildung|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Gesundheit|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Europäische Union|Internationale Beziehungen|Menschenrechte|Europäische Union|Flüchtling	Ausbildungsbeihilfe|Arbeitslosenversicherung|Gesundheit|soziale Sicherheit|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Veröffentlichung des Gesetzes|Europäische Union|Gesundheit|Internationale Beziehungen|Völkerrecht|Europäische Union|Gesundheit|Internationale Beziehungen|Europäische Union|Internationale Beziehungen|Menschenrechte	Internet|junger Mensch|Strafrecht|Altersversorgungssystem|Steuerwesen|Forschung und geistiges Eigentum|Gesundheit|Statistik|Wissenschaften|Steuerwesen|Finanzwesen|Gesundheit|Politik der Zusammenarbeit|Informatik|Information und Informationsverarbeitung|Luftverkehr|Gesundheit|Steuerwesen|Gerichtswesen|Notar|Rechtsanwalt|Gesundheit|soziale Sicherheit|Strafrecht|Gesundheit|junger Mensch|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Forschung und geistiges Eigentum|Gesundheit|Statistik|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Gesundheit|Verteidigung|Familie|Gesundheit|vorschulische Erziehung|junger Mensch|Menschenrechte|Verfassung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|direkt gewählte Kammer|Gesundheit|Zweite Kammer|Altersversorgungssystem|Bürgerliches Recht|Europäische Union|Flüchtling|Grenze|Menschenrechte|Europäische Union|Flüchtling|junger Mensch|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Internationale Beziehungen|Menschenrechte|Beschäftigung und Arbeitsbedingungen|Gesundheit|Berufsverband|Gesundheit|Tourismus	Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Kulturpolitik|Kunst|Bürgerliches Recht|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Frau|Gesundheit|Gleichbehandlung|Gesundheit|Informatik|Information und Informationsverarbeitung|Opferhilfe|Strafrecht|Frau|Gesundheit|Gleichbehandlung|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Umwelt|Wissenschaften|Gesundheit|Kulturpolitik|Kunst|Arbeitsrecht|junger Mensch|Europäische Union|Gesundheit|Internationale Beziehungen|Völkerrecht|Europäische Union|Flüchtling|Grenze|Menschenrechte|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Internationale Beziehungen|Menschenrechte	Ausbildungsbeihilfe|Arbeitslosenversicherung|Gesundheit|soziale Sicherheit|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Veröffentlichung des Gesetzes|Europäische Union|Gesundheit|Internationale Beziehungen|Völkerrecht|Europäische Union|Gesundheit|Internationale Beziehungen|Europäische Union|Internationale Beziehungen|Menschenrechte
2020-10-15	Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|öffentliche Verwaltung|öffentlicher Dienst|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Haushaltskontrolle|Museum|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Behinderter|Straßenverkehr|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Informatik|Information und Informationsverarbeitung	Berufsverband|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Fernsehen|Gesundheit|Hörfunk|Politische Partei|Presse|Bildung|Gesundheit|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Gesetzgebungsverfahren|Gesundheit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Bildung|Organisation des Unterrichtswesens|Steuerwesen|Behinderter|Straßenverkehr|Altersversorgungssystem|Steuerwesen|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Gesundheit|Menschenrechte	Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Behinderter|Straßenverkehr|Altersversorgungssystem|Steuerwesen|Gesundheit|Menschenrechte	Berufsverband|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Fernsehen|Gesundheit|Hörfunk|Politische Partei|Presse|Bildung|Gesundheit|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Gesetzgebungsverfahren|Gesundheit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit
2020-10-22		Familie|Statistik|Straßenverkehr			Familie|Statistik|Straßenverkehr
2020-11-05	Bergbau|Umwelt|öffentliches Eigentum|Verteidigung|Gesundheit|Tourismus|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Exekutive|Misstrauensantrag|öffentliche Sicherheit	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Arbeitsrecht|Betreuung von Pflegebedürftigen|Bürgerliches Recht|Gesundheit|Krankenpflege|öffentliche Sicherheit|öffentliche Sicherheit	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Presse	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Arbeitsrecht|Betreuung von Pflegebedürftigen|Bürgerliches Recht|Gesundheit|Krankenpflege	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Arbeitsrecht|Betreuung von Pflegebedürftigen|Bürgerliches Recht|Gesundheit|Krankenpflege|öffentliche Sicherheit|öffentliche Sicherheit
